"","filename","sentences","wordtypes","swordtypes","lextypes","slextypes","wordtokens","swordtokens","lextokens","slextokens","ld","ls1","ls2","vs1","vs2","cvs1","ndw","ndwz","ndwerz","ndwesz","ttr","msttr","cttr","rttr","logttr","uber","lv","vv1","svv1","cvv1","vv2","nv","adjv","advv","modv"
"166","Giuliani305",1831,771,413,80,48,23702,20105,6700,6519,0.28,0.97,0.54,0.01,0.11,0.24,771,17,33.3,27,0.03,0.52,3.54,5.01,0.66,12.86,0.01,0.01,0.19,0.31,0,0.01,0,0,0
"167","Gore310",2599,1239,749,118,77,33678,28533,9571,9365,0.28,0.98,0.6,0.02,0.36,0.43,1239,17,33.8,25.9,0.04,0.53,4.77,6.75,0.68,14.29,0.01,0.02,0.44,0.47,0,0.01,0,0,0.01
"168","Gore311",757,600,366,59,41,9798,8369,2789,2701,0.28,0.97,0.61,0.04,0.44,0.47,600,17,33,27.7,0.06,0.52,4.29,6.06,0.7,13.13,0.02,0.05,0.69,0.59,0.01,0.01,0,0,0.01
"169","Gore312",1490,771,440,77,47,19300,16301,5518,5339,0.29,0.97,0.57,0.02,0.22,0.33,771,17,32.4,25.5,0.04,0.52,3.92,5.55,0.67,13.13,0.01,0.02,0.3,0.39,0,0.01,0,0,0
"170","Gore314",1817,1011,611,88,58,23553,19936,6620,6480,0.28,0.98,0.6,0.02,0.26,0.36,1011,17,34.1,26.6,0.04,0.53,4.66,6.59,0.69,13.98,0.01,0.02,0.34,0.41,0,0.01,0,0,0.01
"171","Gore316",1036,679,410,70,49,13407,11301,3811,3691,0.28,0.97,0.6,0.03,0.39,0.44,679,17,33.2,25.7,0.05,0.52,4.15,5.86,0.69,13.15,0.02,0.03,0.45,0.47,0,0.01,0,0,0.01
"172","Graham100",1111,628,363,54,38,14373,12154,4007,3908,0.28,0.98,0.58,0.02,0.16,0.29,628,17,34.7,26.9,0.04,0.53,3.7,5.24,0.67,12.71,0.01,0.02,0.24,0.34,0,0.01,0,0,0
"173","Graham83",3278,992,562,90,55,42409,35911,11744,11475,0.28,0.98,0.57,0.01,0.12,0.24,992,17,35.2,26.1,0.02,0.53,3.41,4.82,0.65,13.13,0.01,0.01,0.22,0.33,0,0,0,0,0
"174","Graham91",1779,851,466,72,46,23029,19554,6569,6432,0.29,0.98,0.55,0.02,0.2,0.32,851,17,32.2,25.9,0.04,0.53,3.97,5.61,0.67,13.29,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"175","Graham95",3108,1073,582,105,61,40227,34042,11330,11092,0.28,0.98,0.54,0.01,0.19,0.31,1073,17,32.7,27,0.03,0.53,3.78,5.35,0.66,13.47,0.01,0.01,0.31,0.4,0,0,0,0,0
"176","Gravel250",850,625,404,53,36,10998,9369,3062,2999,0.28,0.98,0.65,0.03,0.26,0.36,625,17,33.7,26.2,0.06,0.53,4.21,5.96,0.69,13.11,0.02,0.03,0.32,0.4,0,0.01,0,0,0
"177","Gravel257",798,518,316,60,47,10317,8768,2883,2823,0.28,0.98,0.61,0.04,0.62,0.56,518,17,32.3,25.9,0.05,0.53,3.61,5.1,0.68,12.4,0.02,0.04,0.79,0.63,0.01,0.01,0,0,0
"178","Harry Truman - Truman Doctrine",2257,1037,646,102,68,29212,25004,8349,8181,0.29,0.98,0.62,0.02,0.42,0.46,1037,17,33.8,27.1,0.04,0.52,4.29,6.07,0.68,13.75,0.01,0.03,0.68,0.58,0,0.01,0,0,0
"179","Hatch329",2386,920,523,93,61,30881,26237,8644,8467,0.28,0.98,0.57,0.01,0.24,0.34,920,17,32.7,27.1,0.03,0.52,3.7,5.24,0.66,13.21,0.01,0.02,0.33,0.41,0,0.01,0,0,0
"180","Hatch334",2101,974,551,81,52,27199,23005,7672,7493,0.28,0.98,0.57,0.01,0.11,0.23,974,17,30.3,27.6,0.04,0.52,4.18,5.91,0.67,13.6,0.01,0.01,0.18,0.3,0,0.01,0,0,0
"181","Hatch339",1231,722,410,69,48,15936,13486,4430,4372,0.28,0.99,0.57,0.02,0.33,0.41,722,17,32.1,26.9,0.05,0.53,4.04,5.72,0.68,13.14,0.02,0.03,0.43,0.46,0,0.01,0,0,0
"182","Hatch342",2207,907,513,77,54,28554,24243,7865,7734,0.28,0.98,0.57,0.02,0.25,0.36,907,17,33.1,25.5,0.03,0.52,3.8,5.37,0.66,13.25,0.01,0.02,0.4,0.44,0,0,0,0,0
"183","Hatch347",2333,927,498,88,52,30215,25418,8420,8212,0.28,0.98,0.54,0.01,0.13,0.26,927,17,32.8,27,0.03,0.53,3.77,5.33,0.66,13.27,0.01,0.01,0.18,0.3,0,0.01,0,0,0
